MRNA,PFE,JNJ,GOOGL,FB,AAPL,COST,WMT,KR,JPM,BAC,HSBC
17.049999237060547,31.499996185302734,120.61080932617188,1231.6300048828125,,53.86034393310547,275.37347412109375,110.56234741210938,24.573482513427734,108.83654022216797,28.330028533935547,34.42607498168945
17.65999984741211,31.217748641967773,120.73185729980469,1229.8800048828125,,54.056297302246094,277.96795654296875,111.46160125732422,24.261350631713867,108.29766845703125,28.151378631591797,34.345375061035156
17.780000686645508,31.115114212036133,121.42082977294922,1232.6500244140625,,54.56330490112305,278.9408874511719,112.08345031738281,23.85462760925293,109.38455963134766,28.20779037475586,34.25569534301758
17.899999618530273,31.226299285888672,121.14151763916016,1238.75,,54.119972229003906,274.55316162109375,112.0356216430664,24.422147750854492,109.0374755859375,28.03854751586914,34.28260040283203
18.06999969482422,31.3802490234375,122.57535552978516,1229.8399658203125,,53.3288459777832,273.1509094238281,111.91124725341797,24.28972625732422,108.59906005859375,27.822284698486328,34.219825744628906
17.829999923706055,30.995372772216797,122.6591796875,1234.68994140625,,53.57133102416992,274.30511474609375,112.52351379394531,24.327560424804688,108.58079528808594,27.756471633911133,34.174991607666016
17.81999969482422,30.79865837097168,122.48226928710938,1218.3299560546875,,53.316593170166016,274.62945556640625,113.26970672607422,24.412683486938477,107.16510009765625,27.21111488342285,33.99563980102539
17.18000030517578,30.7045841217041,121.96087646484375,1245.93994140625,,54.13711929321289,275.2017822265625,113.33667755126953,24.374849319458008,107.77703857421875,27.502595901489258,34.058414459228516
16.34000015258789,30.601945877075195,119.96836853027344,1242.2900390625,,53.85789489746094,274.9633483886719,113.17404174804688,24.384307861328125,106.89107513427734,27.3897647857666,34.16602325439453
15.899999618530273,30.978260040283203,119.7356185913086,1225.949951171875,,53.59581756591797,272.7599182128906,113.31753540039062,24.346473693847656,107.52130889892578,27.59662437438965,34.2018928527832
15.920000076293945,30.730239868164062,120.46185302734375,1221.1400146484375,,54.857215881347656,274.8202209472656,113.53758239746094,24.384307861328125,107.493896484375,27.42737579345703,34.31846618652344
14.8100004196167,30.302597045898438,121.0298080444336,1206.0,,55.009071350097656,270.8330383300781,112.74353790283203,24.20459747314453,105.539306640625,26.74098777770996,33.9508056640625
14.859999656677246,29.678239822387695,122.90125274658203,1177.9200439453125,,53.63011169433594,271.9586181640625,111.08851623535156,23.693832397460938,103.43855285644531,26.17683219909668,33.29617691040039
15.069999694824219,30.3197021484375,122.14708709716797,1189.4300537109375,,54.08568572998047,275.6691589355469,111.27027130126953,23.25873374938965,103.29125213623047,26.148622512817383,33.49346160888672
15.510000228881836,30.730239868164062,124.44682312011719,1210.9599609375,,55.601810455322266,278.21600341796875,113.04010772705078,23.44791030883789,105.52850341796875,26.6751708984375,33.367916107177734
15.470000267028809,30.644710540771484,123.9813003540039,1208.25,,55.61404800415039,279.8757629394531,112.15042114257812,23.49519920349121,105.29833221435547,26.618755340576172,33.32308578491211
15.3100004196167,30.302597045898438,122.75227355957031,1190.1300048828125,,54.96254348754883,278.4259033203125,112.48523712158203,23.135770797729492,102.95060729980469,25.9793758392334,32.89264678955078
